workload,size,threads,impl,status,runs,expected_runs,ops_median,ops_min,ops_max,cv_pct,ops_ci_low,ops_ci_high,wall_ms_median,cpu_s_median,ops_per_cpu_s,lat_p50_ns,lat_p99_ns,lat_p999_ns,bytes_per_task,peak_rss_kb_median,reason
spsc,10000000,1,tokio,ok,10,10,29397440.25,28757322.6,29555238.2,0.7448425412989733,29272051.6,29458386.3,340.165772,0.34215,29226947.869512245,,,,,2944.0,
spsc,10000000,1,crossbeam,ok,10,10,48533277.650000006,15289114.9,48587626.5,27.88989118915042,26147130.2,48571307.8,206.0441925,0.20784999999999998,48111621.74011067,,,,,2304.0,
spsc,10000000,1,go,ok,10,10,37352155.94874038,31200077.34124772,37919535.723518714,5.381119353938021,37013698.803239405,37699857.3584427,267.7222535,0.27005,37030191.02121054,,,,,2560.0,
spsc,10000000,1,tokio-tuned-tokio-channels,ok,10,10,33021217.7,32908637.0,33056535.2,0.1359529292783222,32981090.3,33050650.9,302.8355965,0.30545,32738583.296623677,,,,,7096.0,
spsc,10000000,1,tokio-tuned,ok,10,10,141952725.89999998,140045487.6,143312666.3,0.697386780781543,141110853.7,143279315.4,70.446196,0.0731,136799161.61389327,,,,,7232.0,
spsc,10000000,2,tokio,ok,10,10,13588086.2,11794967.9,13720303.9,5.222025174525727,12171140.3,13692543.9,735.940137,1.39865,7149795.048580471,,,,,2944.0,
spsc,10000000,2,crossbeam,ok,10,10,40247356.55,39683770.4,42243408.9,1.961762166597365,39690049.6,40996370.0,248.4661675,0.49675,20131072.633801624,,,,,2304.0,
spsc,10000000,2,go,ok,10,10,31198510.595702425,30857706.84080584,31731776.018999666,1.0467556313711677,30922048.866757,31643233.728755727,320.528425,0.46085,21699312.552971087,,,,,2624.0,
spsc,10000000,2,tokio-tuned-tokio-channels,ok,10,10,23818278.299999997,23077202.9,24102124.0,1.2229355151001013,23487873.9,23952259.0,419.845633,0.694,14409264.982977964,,,,,7096.0,
spsc,10000000,2,tokio-tuned,ok,10,10,134482510.3,126276747.9,136439956.5,2.1743713073793165,131815005.5,135434938.7,74.360146,0.09035,110680991.29007363,,,,,7232.0,
spsc,10000000,6,tokio,ok,10,10,12967325.85,11342416.5,13484638.7,5.959391208826759,11491680.4,13343434.8,771.169026,1.72015,5813690.771134717,,,,,2944.0,
spsc,10000000,6,crossbeam,ok,10,10,35423988.5,29168788.1,40237727.9,10.865978989768715,31313595.9,39762692.6,282.5381325,0.56335,17764839.750959873,,,,,2240.0,
spsc,10000000,6,go,ok,10,10,29226486.838950116,28929274.606250152,29449412.401616987,0.5905003552487094,29089896.635568444,29432599.437058564,342.1562675,0.52675,18984387.355169035,,,,,2752.0,
spsc,10000000,6,tokio-tuned-tokio-channels,ok,10,10,24364307.8,23852843.1,24969138.3,1.5836022629804178,23961354.6,24845337.5,410.436751,0.69075,14477073.031976316,,,,,9160.0,
spsc,10000000,6,tokio-tuned,ok,10,10,135520861.35,131391912.7,136582779.7,1.2837921554896456,132519460.6,136238597.8,73.7895215,0.09215,108518751.42787832,,,,,8200.0,
spsc,10000000,12,tokio,ok,10,10,12842746.95,11561322.3,15087993.8,8.57423057577575,12060284.1,14311594.8,779.06716,1.7307000000000001,5780751.883195076,,,,,2944.0,
spsc,10000000,12,crossbeam,ok,10,10,36271209.45,32797972.1,39550592.0,7.209205166411745,33115193.2,38617937.7,275.955879,0.55165,18143964.37316739,,,,,2304.0,
spsc,10000000,12,go,ok,10,10,29281689.928770542,27018827.61610798,29750445.439288102,3.6288899217809654,27361563.02950695,29553988.931440067,341.512637,0.5214,19179234.69335957,,,,,2816.0,
spsc,10000000,12,tokio-tuned-tokio-channels,ok,10,10,23480293.4,22168297.4,24231872.2,3.2326353564263117,22386476.8,24169620.5,425.889057,0.7232000000000001,13827433.892696245,,,,,9170.0,
spsc,10000000,12,tokio-tuned,ok,10,10,133109334.69999999,127524674.5,136282625.6,2.365176338470003,128538983.5,136045081.9,75.1269455,0.09670000000000001,103414385.8287,,,,,9242.0,
spsc-cap1,1000000,1,tokio,ok,10,10,9840315.85,9614021.2,9947813.5,1.0360546386841083,9708755.7,9899920.3,101.622789,0.1036,9652518.645852258,,,,,2944.0,
spsc-cap1,1000000,1,crossbeam,ok,10,10,135050.85,133188.8,135465.8,0.48703398084933797,134915.9,135394.5,7404.6202815,7.40605,135024.80360272623,,,,,2304.0,
spsc-cap1,1000000,1,go,ok,10,10,10801003.239327997,10563465.272951229,10871222.606176894,0.9206116275975663,10672806.461846404,10857071.796056941,92.5841275,0.0952,10504201.680672267,,,,,2560.0,
spsc-cap1,1000000,1,tokio-tuned-tokio-channels,ok,10,10,9325069.7,8924971.8,9566776.3,1.8700717983704052,9123873.1,9444217.6,107.2378195,0.1098,9107468.123861566,,,,,7094.0,
spsc-cap1,1000000,1,tokio-tuned,ok,10,10,39504696.5,38698188.3,41112884.7,1.7153330498383075,39007476.6,40319316.1,25.3134465,0.0278,35971223.02158274,,,,,7228.0,
spsc-cap1,1000000,2,tokio,ok,10,10,5196631.300000001,5097676.0,5229874.0,0.8835680489483017,5110156.1,5221034.6,192.432613,0.31505000000000005,3174101.3479830627,,,,,2944.0,
spsc-cap1,1000000,2,crossbeam,ok,10,10,5635686.0,5132749.7,6146616.6,5.830232264145286,5356414.0,5997888.9,177.448228,0.35375,2827013.7688157246,,,,,2304.0,
spsc-cap1,1000000,2,go,ok,10,10,11476799.334490526,11035487.124941314,11575652.73051069,1.3147357160002962,11425738.1066807,11541634.200530563,87.1323245,0.09275,10781674.292303687,,,,,2688.0,
spsc-cap1,1000000,2,tokio-tuned-tokio-channels,ok,10,10,5089978.4,4941471.2,5108799.7,0.965129681614889,5056119.6,5102037.7,196.46467,0.31905,3134305.0448508686,,,,,7094.0,
spsc-cap1,1000000,2,tokio-tuned,ok,10,10,20258194.5,18601749.3,20660380.1,3.3562484181801264,19109360.8,20428492.1,49.362789,0.08435000000000001,11855368.71813035,,,,,7228.0,
spsc-cap1,1000000,6,tokio,ok,10,10,5447027.85,5348581.2,5482009.7,0.6695594561995044,5431997.9,5470941.5,183.586373,0.29645,3373250.2224558676,,,,,2944.0,
spsc-cap1,1000000,6,crossbeam,ok,10,10,7303153.050000001,5480239.3,7969547.5,9.537244501227809,6764038.8,7696732.0,136.927173,0.2721,3675190.9215085385,,,,,2240.0,
spsc-cap1,1000000,6,go,ok,10,10,11346440.858053196,11318589.66298107,11444184.56608659,0.32747447645089195,11319675.631525269,11379834.394049594,88.133364,0.1008,9920644.684433937,,,,,2688.0,
spsc-cap1,1000000,6,tokio-tuned-tokio-channels,ok,10,10,5271339.95,5043922.0,5316241.4,1.4443594686856565,5250856.9,5290393.1,189.7051095,0.3083,3243615.742530767,,,,,6972.0,
spsc-cap1,1000000,6,tokio-tuned,ok,10,10,21968917.25,19834657.1,22601265.0,4.070823803205801,20322010.8,22222334.3,45.520243,0.0806,12406966.989155449,,,,,9098.0,
spsc-cap1,1000000,12,tokio,ok,10,10,5419727.3,5311728.8,5459491.1,0.9443628181706867,5339978.3,5454011.9,184.5111495,0.3024,3306959.6737920493,,,,,2944.0,
spsc-cap1,1000000,12,crossbeam,ok,10,10,7152458.6,6722340.1,7487954.8,3.430965355715804,6834530.4,7347635.3,139.8128805,0.2771,3608805.955376352,,,,,2304.0,
spsc-cap1,1000000,12,go,ok,10,10,11275133.759212982,10794389.218969917,11502405.302480018,1.951765902544296,10922455.069061154,11406636.271479039,88.691038,0.10195000000000001,9808788.75169092,,,,,2816.0,
spsc-cap1,1000000,12,tokio-tuned-tokio-channels,ok,10,10,5266437.75,4428387.3,5291726.7,7.342029218644511,4529353.0,5279367.2,189.881671,0.312,3205128.205128205,,,,,9176.0,
spsc-cap1,1000000,12,tokio-tuned,ok,10,10,21321854.15,17086089.4,21892207.4,7.913235456800876,18784476.1,21820180.1,46.9002405,0.0868,11520752.618383033,,,,,9208.0,
mpsc,10000000,1,tokio,ok,10,10,27422910.35,27208480.8,27535868.4,0.36151654726062166,27344837.7,27519935.9,364.6590385,0.3668,27262821.627712347,,,,,2944.0,
mpsc,10000000,1,crossbeam,ok,10,10,14838239.85,14604325.0,14907260.6,0.7439836662316051,14618887.8,14902038.7,673.9346295,0.6758,14797282.484983537,,,,,2432.0,
mpsc,10000000,1,go,ok,10,10,36407585.91363981,35567654.754848056,36591749.32895306,0.9214765773846159,35789991.0040426,36495747.6523426,274.668156,0.27715,36081545.46443972,,,,,2560.0,
mpsc,10000000,1,tokio-tuned-tokio-channels,ok,10,10,33178492.6,32875723.4,33286353.9,0.44163554505992864,32933185.1,33284658.8,301.4006765,0.30415000000000003,32878664.05496677,,,,,7096.0,
mpsc,10000000,1,tokio-tuned,ok,10,10,136058374.5,129061949.0,136765372.8,1.6905852159710677,135204030.7,136745025.1,73.4978985,0.07600000000000001,131579175.17170215,,,,,7232.0,
mpsc,10000000,2,tokio,ok,10,10,9318959.05,9073097.7,9392605.7,0.9658179192241139,9231627.8,9346729.0,1073.0813145,2.0697,4831618.289371673,,,,,2944.0,
mpsc,10000000,2,crossbeam,ok,10,10,20517158.05,17518119.4,22630522.0,7.1454725404545085,18897307.2,21581730.1,487.4560875,0.9702,10308864.394007985,,,,,2304.0,
mpsc,10000000,2,go,ok,10,10,30376467.718024217,28548435.498344287,31101691.100025605,2.7021125977237452,29595572.097546782,31077148.028620027,329.2034925,0.51705,19340584.989760954,,,,,2688.0,
mpsc,10000000,2,tokio-tuned-tokio-channels,ok,10,10,8629095.649999999,8595465.7,8648135.7,0.2518724859817926,8597212.3,8646107.3,1158.870278,2.31935,4311554.731336964,,,,,7222.0,
mpsc,10000000,2,tokio-tuned,ok,10,10,69309759.0,62234621.5,77415701.6,8.431962758410544,63473405.1,76820490.2,144.4574345,0.18525000000000003,53985389.411694765,,,,,7232.0,
mpsc,10000000,6,tokio,ok,10,10,8040722.05,7679042.5,8172256.8,1.8775934300012842,7925778.6,8169960.4,1243.6846795,4.199949999999999,2380985.666556426,,,,,2880.0,
