workload,size,threads,impl,status,runs,expected_runs,ops_median,ops_min,ops_max,cv_pct,ops_ci_low,ops_ci_high,wall_ms_median,cpu_s_median,ops_per_cpu_s,lat_p50_ns,lat_p99_ns,lat_p999_ns,bytes_per_task,peak_rss_kb_median,reason
spsc,10000000,1,tokio,ok,3,3,28922649.9,20015912.2,29036592.7,19.912163502314012,20015912.2,29036592.7,345.749785,,,,,,,3072,
spsc,10000000,1,tokio+mimalloc,ok,3,3,28112473.5,28056585.3,28459632.2,0.7740676775473352,28056585.3,28459632.2,355.713986,,,,,,,7364,
spsc,10000000,1,tokio+batch,ok,3,3,36157024.7,36111866.1,36315915.4,0.2961109493355438,36111866.1,36315915.4,276.571429,,,,,,,3072,
spsc,10000000,1,tokio+unconstrained,ok,3,3,29437918.8,29245366.0,29797387.1,0.9499866600030786,29245366.0,29797387.1,339.697927,,,,,,,3072,
spsc,10000000,1,tokio+kanal,ok,3,3,77289706.0,72110760.3,77780021.9,4.148053162067944,72110760.3,77780021.9,129.383336,,,,,,,3072,
spsc,10000000,1,tokio+flume,ok,3,3,59602758.0,53845997.2,60466901.3,6.208445474069879,53845997.2,60466901.3,167.777471,,,,,,,2944,
spsc,10000000,1,tokio+join,ok,3,3,25254355.0,25169334.1,25322543.2,0.3040092167148816,25169334.1,25322543.2,395.971309,,,,,,,3072,
spsc,10000000,2,tokio,ok,3,3,13301306.5,11681501.6,13487261.9,7.745529934800283,11681501.6,13487261.9,751.805847,,,,,,,3072,
spsc,10000000,2,tokio+mimalloc,ok,3,3,13440766.4,13122204.7,13582147.0,1.760540658164,13122204.7,13582147.0,744.005195,,,,,,,7364,
spsc,10000000,2,tokio+batch,ok,3,3,27384606.2,27366309.5,27578719.9,0.4289200627339458,27366309.5,27578719.9,365.168662,,,,,,,2944,
spsc,10000000,2,tokio+unconstrained,ok,3,3,16679243.8,16541211.0,16705468.7,0.530246005983851,16541211.0,16705468.7,599.547565,,,,,,,2944,
spsc,10000000,2,tokio+kanal,ok,3,3,41751002.3,36591333.9,42821523.9,8.248134128603663,36591333.9,42821523.9,239.515208,,,,,,,3072,
spsc,10000000,2,tokio+flume,ok,3,3,13190446.5,12857809.7,13238472.7,1.5830335843801673,12857809.7,13238472.7,758.124453,,,,,,,3072,
spsc,10000000,2,tokio+join,ok,3,3,23726452.6,23437153.6,24040940.4,1.2723104239692749,23437153.6,24040940.4,421.470506,,,,,,,3072,
spsc,10000000,12,tokio,ok,3,3,13396253.4,12896335.3,13620982.9,2.7880011000838105,12896335.3,13620982.9,746.477372,,,,,,,3072,
spsc,10000000,12,tokio+mimalloc,ok,3,3,13468807.7,12916022.1,13913557.6,3.720311482007409,12916022.1,13913557.6,742.456215,,,,,,,9292,
spsc,10000000,12,tokio+batch,ok,3,3,26643471.0,26530697.3,28210171.8,3.46056140681707,26530697.3,28210171.8,375.326473,,,,,,,3200,
spsc,10000000,12,tokio+unconstrained,ok,3,3,16532133.1,16194192.3,17618599.0,4.43497138060893,16194192.3,17618599.0,604.88262,,,,,,,3072,
spsc,10000000,12,tokio+kanal,ok,3,3,42509399.9,39854989.4,44076750.3,5.063411846873048,39854989.4,44076750.3,235.242088,,,,,,,3200,
spsc,10000000,12,tokio+flume,ok,3,3,14883178.9,13633830.9,15139350.0,5.535347303814278,13633830.9,15139350.0,671.899468,,,,,,,3200,
spsc,10000000,12,tokio+join,ok,3,3,23114639.7,22748271.6,23526256.6,1.6827341858419675,22748271.6,23526256.6,432.626255,,,,,,,3072,
mpmc,10000000,1,tokio,ok,3,3,35129709.2,34938422.8,35706613.0,1.1342054085082935,34938422.8,35706613.0,284.659345,,,,,,,3072,
mpmc,10000000,1,tokio+mimalloc,ok,3,3,34785421.9,34489392.8,35375964.3,1.2939179566709271,34489392.8,35375964.3,287.476749,,,,,,,9452,
mpmc,10000000,1,tokio+batch,ok,3,3,38100127.2,37269902.3,38181078.9,1.3324207515353235,37269902.3,38181078.9,262.466315,,,,,,,3072,
mpmc,10000000,1,tokio+kanal,ok,3,3,67848117.2,59852359.8,67903871.1,7.1049514611509546,59852359.8,67903871.1,147.388025,,,,,,,3072,
mpmc,10000000,1,tokio+flume,ok,3,3,52761542.0,51894659.8,53454239.1,1.4826519074298654,51894659.8,53454239.1,189.531989,,,,,,,3072,
mpmc,10000000,2,tokio,ok,3,3,18114127.5,16106931.9,20229671.7,11.358564713618371,16106931.9,20229671.7,552.055295,,,,,,,3072,
mpmc,10000000,2,tokio+mimalloc,ok,3,3,15247518.5,14127127.0,23148606.6,28.085500941732715,14127127.0,23148606.6,655.844425,,,,,,,9440,
mpmc,10000000,2,tokio+batch,ok,3,3,16188362.4,13392652.7,16702057.9,11.54425995187782,13392652.7,16702057.9,617.727708,,,,,,,3072,
mpmc,10000000,2,tokio+kanal,ok,3,3,53302594.7,52318386.5,55067965.4,2.6009770819739786,52318386.5,55067965.4,187.608128,,,,,,,3072,
mpmc,10000000,2,tokio+flume,ok,3,3,7347880.4,7281139.5,7709768.5,3.0972534637135207,7281139.5,7709768.5,1360.93669,,,,,,,2944,
mpmc,10000000,12,tokio,ok,3,3,9955036.4,9591374.3,9989312.8,2.2398854508864283,9591374.3,9989312.8,1004.516672,,,,,,,3072,
mpmc,10000000,12,tokio+mimalloc,ok,3,3,9554773.0,9417892.4,9644868.1,1.1980976483805914,9417892.4,9644868.1,1046.597338,,,,,,,11408,
mpmc,10000000,12,tokio+batch,ok,3,3,10325794.2,9929823.7,10415863.5,2.5290578026807844,9929823.7,10415863.5,968.44851,,,,,,,3200,
mpmc,10000000,12,tokio+kanal,ok,3,3,34710564.3,32819222.0,34726736.0,3.2173942701389353,32819222.0,34726736.0,288.096728,,,,,,,3072,
mpmc,10000000,12,tokio+flume,ok,3,3,8254757.5,8241112.4,8273605.2,0.19761020758237183,8241112.4,8273605.2,1211.42262,,,,,,,3200,
pingpong,1000000,1,tokio,ok,3,3,6568726.1,6497277.3,6605858.1,0.8416104480796951,6497277.3,6605858.1,152.23652,,,220,451,1062,,3584,
pingpong,1000000,1,tokio+mimalloc,ok,3,3,6363946.1,6330368.1,6498843.0,1.3937884199158876,6330368.1,6498843.0,157.135209,,,220,481,1001,,9452,
pingpong,1000000,1,tokio+unconstrained,ok,3,3,6494455.0,6421467.5,6557467.0,1.048518505881891,6421467.5,6557467.0,153.977509,,,220,470,1132,,3584,
pingpong,1000000,1,tokio+kanal,ok,3,3,10110053.2,9899899.3,10175526.1,1.4311833378342365,9899899.3,10175526.1,98.911448,,,111,341,591,,3584,
pingpong,1000000,1,tokio+flume,ok,3,3,6484279.4,6478132.9,6501326.5,0.18520814267036315,6478132.9,6501326.5,154.219141,,,180,421,692,,3456,
pingpong,1000000,1,tokio+join,ok,3,3,4257301.1,4054793.8,4354246.0,3.6189384013313424,4054793.8,4354246.0,234.890598,,,280,621,1382,,3584,
pingpong,1000000,2,tokio,ok,3,3,3843408.3,3780478.6,3846128.7,0.9714730984500813,3780478.6,3846128.7,260.185734,,,201,2364,3737,,3456,
pingpong,1000000,2,tokio+mimalloc,ok,3,3,3789441.6,3749957.8,3830956.5,1.068662962010532,3749957.8,3830956.5,263.89112,,,201,2325,3597,,9440,
pingpong,1000000,2,tokio+unconstrained,ok,3,3,3822957.5,3759585.6,3848622.8,1.2027642103896978,3759585.6,3848622.8,261.577589,,,200,2335,3927,,3456,
pingpong,1000000,2,tokio+kanal,ok,3,3,5574239.9,5410676.1,5671086.2,2.3707088080946037,5410676.1,5671086.2,179.396656,,,110,2264,3176,,3584,
pingpong,1000000,2,tokio+flume,ok,3,3,3781123.1,3758349.6,3859893.8,1.4022708397126782,3758349.6,3859893.8,264.471687,,,161,2384,4158,,3456,
pingpong,1000000,2,tokio+join,ok,3,3,2241863.6,2209976.4,2255971.7,1.0538483830503433,2209976.4,2255971.7,446.05746,,,290,2895,4899,,3456,
pingpong,1000000,12,tokio,ok,3,3,3849896.2,3832976.5,3860283.8,0.3582186212738588,3832976.5,3860283.8,259.747263,,,200,2344,2915,,3072,
pingpong,1000000,12,tokio+mimalloc,ok,3,3,3760650.8,3710343.6,3798926.1,1.1826320174405354,3710343.6,3798926.1,265.91142,,,210,2545,3787,,11436,
pingpong,1000000,12,tokio+unconstrained,ok,3,3,3591558.2,3487064.2,3696144.7,2.910696419886496,3487064.2,3696144.7,278.430684,,,210,2515,3887,,3200,
pingpong,1000000,12,tokio+kanal,ok,3,3,5528024.1,5373586.9,5611494.1,2.192891440770012,5373586.9,5611494.1,180.896463,,,120,2354,2985,,3200,
pingpong,1000000,12,tokio+flume,ok,3,3,3667896.0,3421573.1,3670054.0,3.982749818360271,3421573.1,3670054.0,272.635867,,,170,400,1132,,3072,
pingpong,1000000,12,tokio+join,ok,3,3,2219025.5,2211061.7,2236314.3,0.5809759905669334,2211061.7,2236314.3,450.648273,,,311,3006,4678,,3072,
select,10000000,1,tokio,ok,3,3,20364321.3,20060075.8,20367090.8,0.870818332907357,20060075.8,20367090.8,491.054913,,,,,,,3072,
select,10000000,1,tokio+mimalloc,ok,3,3,20163720.7,20053301.8,20405650.0,0.8918351287415105,20053301.8,20405650.0,495.940217,,,,,,,7364,
select,10000000,1,tokio+batch,ok,3,3,31713884.9,31650660.9,32088572.9,0.7439187121721633,31650660.9,32088572.9,315.3193,,,,,,,3200,
select,10000000,1,tokio+unconstrained,ok,3,3,17998268.1,17972268.5,18104123.4,0.3874727996540997,17972268.5,18104123.4,555.609013,,,,,,,3072,
select,10000000,1,tokio+biased,ok,3,3,23209719.9,23133757.0,23396883.5,0.5825444871415181,23133757.0,23396883.5,430.853972,,,,,,,3200,
select,10000000,2,tokio,ok,3,3,19046628.3,19038235.4,19105756.3,0.19304094229650723,19038235.4,19105756.3,525.027309,,,,,,,2944,
select,10000000,2,tokio+mimalloc,ok,3,3,19447407.4,19148240.9,19608436.6,1.2036664757651565,19148240.9,19608436.6,514.207358,,,,,,,7236,
