workload,size,threads,impl,status,runs,ops_median,ops_min,ops_max,cv_pct,wall_ms_median,lat_p50_ns,lat_p99_ns,lat_p999_ns,bytes_per_task,peak_rss_kb_median,reason
spawn,10000,1,tokio,ok,3,2053698.5,1501297.0,2117235.1,17.916943591204504,4.869264,,,,,5504,
spawn,10000,1,tokio+mimalloc,ok,3,6760827.0,6566807.4,6799793.0,1.8600886315202874,1.479109,,,,,9320,
spawn,10000,1,tokio+no-handles,ok,3,1102080.9,1076034.2,1236064.5,7.54510890919182,9.073744,,,,,6784,
spawn,10000,1,tokio+mimalloc+no-handles,ok,3,8405720.6,7916503.1,8553676.0,4.021604558136517,1.189666,,,,,11368,
spawn,10000,2,tokio,ok,3,2212384.0,1662139.8,2329082.6,17.224664330641097,4.520011,,,,,5504,
spawn,10000,2,tokio+mimalloc,ok,3,4031294.1,3770177.5,5474505.5,20.74306852401572,2.480593,,,,,9300,
spawn,10000,2,tokio+no-handles,ok,3,1475671.9,1265282.6,1550553.0,10.339165145101433,6.776574,,,,,6272,
spawn,10000,2,tokio+mimalloc+no-handles,ok,3,5038252.9,4970636.0,5193634.3,2.256362622272872,1.984815,,,,,9192,
spawn,10000,12,tokio,ok,3,2199673.6,1933176.7,2422212.5,11.205702710516674,4.546129,,,,,5504,
spawn,10000,12,tokio+mimalloc,ok,3,5209899.0,4940396.6,5211856.8,3.049680449193821,1.919423,,,,,9220,
spawn,10000,12,tokio+no-handles,ok,3,1699103.7,1607649.1,1831384.4,6.567754679055127,5.885456,,,,,3456,
spawn,10000,12,tokio+mimalloc+no-handles,ok,3,5516593.1,4976557.9,5699584.0,6.9645857066054635,1.812713,,,,,9308,
spawn,1000000,1,tokio,ok,3,2091002.7,2089227.2,2104243.7,0.3916987837838887,478.239453,,,,,260736,
spawn,1000000,1,tokio+mimalloc,ok,3,4977791.6,4748563.6,5152633.4,4.085842148567541,200.892299,,,,,140412,
spawn,1000000,1,tokio+no-handles,ok,3,1778273.2,1755265.4,1784454.2,0.8677071590792105,562.343303,,,,,385920,
spawn,1000000,1,tokio+mimalloc+no-handles,ok,3,5363482.4,5212492.8,5383608.9,1.7580697277050024,186.44603,,,,,267528,
spawn,1000000,2,tokio,ok,3,2178443.6,2152967.6,2183223.6,0.7490057173976999,459.043322,,,,,260864,
spawn,1000000,2,tokio+mimalloc,ok,3,4318150.3,4113454.3,4468111.1,4.140346169128508,231.58064,,,,,140412,
spawn,1000000,2,tokio+no-handles,ok,3,1384378.3,1343729.8,1389409.3,1.8249381928216684,722.345907,,,,,325888,
spawn,1000000,2,tokio+mimalloc+no-handles,ok,3,5169320.6,5106889.9,5169859.9,0.7031121954296697,193.449018,,,,,58352,
spawn,1000000,12,tokio,ok,3,2209091.4,2132757.0,2268284.3,3.0836331593590236,452.674791,,,,,260608,
spawn,1000000,12,tokio+mimalloc,ok,3,4192927.6,4095211.9,4254431.0,1.9204903293283702,238.496844,,,,,142528,
spawn,1000000,12,tokio+no-handles,ok,3,1742717.3,1702127.9,1762645.2,1.7767230034970705,573.816537,,,,,12896,
spawn,1000000,12,tokio+mimalloc+no-handles,ok,3,5157270.6,5088446.8,5199504.1,1.0888159699654851,193.901013,,,,,19464,
cpu,16000000,1,tokio,ok,3,13438185.5,13331819.3,13502416.6,0.6418400987379402,1190.636935,,,,,3072,
cpu,16000000,1,tokio+mimalloc,ok,3,13366199.8,13185766.1,13430380.4,0.9516279032707264,1197.049288,,,,,7236,
cpu,16000000,2,tokio,ok,3,26465122.5,26425752.6,26544491.5,0.22841924888461268,604.569277,,,,,2944,
