workload,size,threads,impl,status,runs,ops_median,ops_min,ops_max,cv_pct,wall_ms_median,lat_p50_ns,lat_p99_ns,lat_p999_ns,bytes_per_task,peak_rss_kb_median,reason
spsc,10000000,1,tokio,ok,3,25271331.8,25122253.2,25711807.3,1.2083683305926882,395.705303,,,,,3072,
spsc,10000000,1,tokio+kanal+batch,ok,3,92483311.6,85716897.4,94329634.4,4.99161129720338,108.127616,,,,,3072,
spsc,10000000,1,tokio+mimalloc+kanal+batch,ok,3,92637127.9,85051690.0,93845863.3,5.266569455637611,107.948079,,,,,7492,
spsc,10000000,1,tokio+mimalloc+kanal,ok,3,70768555.6,70098412.0,71970712.9,1.3371660990073317,141.305696,,,,,7364,
spsc,10000000,1,tokio+mimalloc+batch,ok,3,32431512.2,32145967.5,32651566.1,0.7821898409484968,308.342082,,,,,7240,
spsc,10000000,2,tokio,ok,3,12734959.6,12530292.1,12891489.6,1.4241198524631848,785.240025,,,,,3072,
spsc,10000000,2,tokio+kanal+batch,ok,3,77582669.9,73123454.0,78793763.9,3.9035104120659665,128.894765,,,,,2944,
spsc,10000000,2,tokio+mimalloc+kanal+batch,ok,3,69241663.5,67103771.7,73146191.3,4.387693882732203,144.421718,,,,,7364,
spsc,10000000,2,tokio+mimalloc+kanal,ok,3,30211154.7,29952968.3,30291214.8,0.5862589930935228,331.003568,,,,,7240,
spsc,10000000,2,tokio+mimalloc+batch,ok,3,25499433.4,25482825.3,26193716.3,1.5771375255782885,392.165577,,,,,7240,
spsc,10000000,12,tokio,ok,3,12461757.6,12222997.5,12647785.2,1.7111505987380422,802.455025,,,,,3072,
spsc,10000000,12,tokio+kanal+batch,ok,3,74768750.0,74002512.5,75604597.9,1.0713648596042074,133.745716,,,,,2944,
spsc,10000000,12,tokio+mimalloc+kanal+batch,ok,3,76061516.4,71794892.6,77288817.7,3.8424226402720327,131.47253,,,,,9288,
spsc,10000000,12,tokio+mimalloc+kanal,ok,3,36434570.9,35105176.3,36842562.5,2.514715489405986,274.464602,,,,,9292,
spsc,10000000,12,tokio+mimalloc+batch,ok,3,24123278.1,23815248.8,24340662.5,1.0957793590637612,414.53736,,,,,9332,
mpmc,10000000,1,tokio,ok,3,33959173.9,33107860.9,34316738.3,1.8376216830019523,294.471239,,,,,3072,
mpmc,10000000,1,tokio+kanal+batch,ok,3,86261193.5,85074866.2,87275012.5,1.2774392000571617,115.926984,,,,,3072,
mpmc,10000000,1,tokio+mimalloc+kanal+batch,ok,3,85233857.3,84699706.2,86964462.7,1.3825099222807542,117.324269,,,,,7364,
mpmc,10000000,1,tokio+mimalloc+kanal,ok,3,62436271.3,59206938.6,64822435.1,4.534259402064878,160.163312,,,,,7492,
mpmc,10000000,1,tokio+mimalloc+batch,ok,3,34887758.7,32675734.4,37005069.9,6.210777937348693,286.633489,,,,,9452,
mpmc,10000000,2,tokio,ok,3,19168640.7,17889783.3,19968525.3,5.515958047501108,521.685401,,,,,2944,
mpmc,10000000,2,tokio+kanal+batch,ok,3,74304418.3,71300779.6,76145416.1,3.3083909700456724,134.581499,,,,,3072,
mpmc,10000000,2,tokio+mimalloc+kanal+batch,ok,3,61955920.5,59579354.1,65690336.6,4.936073565802158,161.405075,,,,,7368,
mpmc,10000000,2,tokio+mimalloc+kanal,ok,3,38211679.5,35434257.1,44432037.8,11.705909928523264,261.700091,,,,,7364,
mpmc,10000000,2,tokio+mimalloc+batch,ok,3,16936667.3,12905040.1,17735945.9,16.327526915514103,590.434931,,,,,9436,
mpmc,10000000,12,tokio,ok,3,9411005.0,9259338.1,10099506.7,4.66902863022507,1062.585766,,,,,3072,
mpmc,10000000,12,tokio+kanal+batch,ok,3,49884963.5,49440895.9,54015429.8,4.935475304596565,200.461207,,,,,3200,
mpmc,10000000,12,tokio+mimalloc+kanal+batch,ok,3,46170412.5,38837452.6,51632236.7,14.09576258821446,216.588925,,,,,9200,
mpmc,10000000,12,tokio+mimalloc+kanal,ok,3,28205346.9,27808267.1,29592674.7,3.283215638002902,354.542706,,,,,9344,
mpmc,10000000,12,tokio+mimalloc+batch,ok,3,8184505.6,7862952.7,9933653.7,12.867286080959566,1221.820901,,,,,11312,
pingpong,1000000,1,tokio,ok,3,6420748.5,6402583.6,6765721.4,3.133621942730359,155.745082,221,461,932,,3584,
pingpong,1000000,1,tokio+mimalloc+kanal,ok,3,10068273.7,9625912.4,10223665.4,3.109963874579901,99.321893,120,350,381,,9452,
pingpong,1000000,2,tokio,ok,3,3997047.2,3887951.2,4005078.8,1.650834106026253,250.184686,200,2344,3086,,3584,
pingpong,1000000,2,tokio+mimalloc+kanal,ok,3,5657020.9,5281111.8,5829677.8,5.018338140895098,176.771487,110,2314,2915,,9456,
pingpong,1000000,12,tokio,ok,3,4106388.4,4081088.3,4186601.1,1.335529401850116,243.522997,190,2244,2655,,3328,
pingpong,1000000,12,tokio+mimalloc+kanal,ok,3,5799939.8,5402326.2,6330676.2,7.9695078769878025,172.415584,101,2204,2655,,11424,
select,10000000,1,tokio,ok,3,20781381.5,19641318.1,21308433.5,4.141191354577081,481.199962,,,,,3072,
select,10000000,1,tokio+mimalloc+batch,ok,3,33304164.7,32309441.6,33399459.3,1.8291406377758792,300.262748,,,,,7364,
select,10000000,2,tokio,ok,3,19846055.7,19733991.5,19873246.5,0.3724560573775175,503.87846,,,,,3072,
select,10000000,2,tokio+mimalloc+batch,ok,3,28571567.4,28491601.0,28897530.6,0.7504449834436503,349.998299,,,,,7236,
select,10000000,12,tokio,ok,3,19353999.9,18614372.7,20002459.3,3.594266704280812,516.689058,,,,,3200,
select,10000000,12,tokio+mimalloc+batch,ok,3,36765357.5,34070045.4,37415298.1,4.915765173710115,271.995179,,,,,9352,
mutex,10000000,1,tokio,ok,3,48949507.6,48877630.3,49257184.7,0.4112245082106939,204.292147,,,,,3072,
mutex,10000000,1,tokio+mimalloc+parking-lot,ok,3,229638330.9,229173497.5,232723389.4,0.8370050592487662,43.546737,,,,,7364,
mutex,10000000,1,tokio+parking-lot,ok,3,227776351.1,225352681.5,228359281.5,0.7018976035621194,43.902714,,,,,3072,
mutex,10000000,2,tokio,ok,3,8714766.0,8681668.0,8895758.9,1.3149750723469786,1147.477737,,,,,2944,
mutex,10000000,2,tokio+mimalloc+parking-lot,ok,3,147886894.4,146497147.0,154779117.1,2.962298385858497,67.619244,,,,,7236,
mutex,10000000,2,tokio+parking-lot,ok,3,140669890.8,138788670.0,156674993.2,6.760812300571531,71.088418,,,,,2944,
mutex,10000000,12,tokio,ok,3,8298667.1,8126806.6,8758860.4,3.8929462902563343,1205.012794,,,,,2944,
mutex,10000000,12,tokio+mimalloc+parking-lot,ok,3,79473975.1,72041630.3,85927731.4,8.779520074218684,125.827354,,,,,9344,
mutex,10000000,12,tokio+parking-lot,ok,3,86765967.8,82039482.5,89629950.9,4.449617699869755,115.252561,,,,,2944,
